symbol,kind,file_path,line_number,snippet,definition_lines,file_lines,inbound_refs,collected_by_pytest,verdict
DuplicateInfo,class,runner/test_qafix_comprehensive_final.py,45,"class DuplicateInfo: | """"""Represents a detected duplicate code section."""""" | file_path: str",7,753,0,NO,duplicate
DuplicateInfo,class,runner/test_qafix_kalepasch_34bc56c.py,65,"class DuplicateInfo: | """"""Represents a detected duplicate code section."""""" | file_path: str",8,790,0,NO,canonical
DuplicateInfo,class,runner/test_qafix_kalepasch_com_34bc56c33a4f.py,45,"class DuplicateInfo: | """"""Represents a detected duplicate code section."""""" | file_path: str",7,677,0,NO,duplicate
TestAcceptanceCriteria,class,runner/test_qafix_comprehensive_final.py,620,"class TestAcceptanceCriteria: | """"""Acceptance criteria: preserve existing behavior.""""""",55,753,0,NO,duplicate
TestAcceptanceCriteria,class,runner/test_qafix_kalepasch_34bc56c.py,722,"class TestAcceptanceCriteria: | """"""Verify all stated acceptance criteria are met.""""""",61,790,0,NO,duplicate
TestAcceptanceCriteria,class,runner/test_qafix_kalepasch_com_34bc56c33a4f.py,588,"class TestAcceptanceCriteria: | """"""Verify acceptance criteria: preserve existing behavior.""""""",86,677,0,NO,duplicate
TestAcceptanceCriteria,class,runner/test_qafix_merged_diff_patch_transplant.py,585,"class TestAcceptanceCriteria: | """"""Verify acceptance criteria: preserve existing behavior.""""""",88,730,0,NO,duplicate
TestAcceptanceCriteria,class,runner/tests/test_relfix_kalepasch_com_4fa4039b57dc.py,212,"class TestAcceptanceCriteria: | """"""Verify acceptance criteria: preserve behavior, similarity >= 0.8.""""""",67,790,0,yes,canonical
TestBehaviorPreservation,class,runner/test_qafix_comprehensive_final.py,473,"class TestBehaviorPreservation: | """"""Critical: verify zero behavior changes (acceptance criteria).""""""",70,753,4,NO,duplicate
TestBehaviorPreservation,class,runner/test_qafix_kalepasch_34bc56c.py,230,"class TestBehaviorPreservation: | """"""Verify that consolidation preserves all existing behavior.""""""",85,790,4,NO,duplicate
TestBehaviorPreservation,class,runner/tests/test_pricing_grid_reconstruction_refactor.py,319,"class TestBehaviorPreservation: | """"""Integration tests ensuring refactoring preserves existing behavior.""""""",35,397,4,yes,duplicate
TestBehaviorPreservation,class,runner/tests/test_relfix_kalepasch_com_4fa4039b57dc.py,447,"class TestBehaviorPreservation: | """"""Verify that adapted patch preserves existing behavior.""""""",64,790,4,yes,canonical
TestBehaviorPreservation,class,runner/tests/test_task_splitter_adversarial.py,482,"class TestBehaviorPreservation(unittest.TestCase): | """"""Tests ensuring behavior is preserved through refactoring.""""""",37,726,4,yes,duplicate
TestBehaviorPreservationAfterDeduplication,class,runner/test_qafix_deduplication_validation.py,236,"class TestBehaviorPreservationAfterDeduplication: | """"""Critical tests ensuring zero behavior changes from deduplication.""""""",77,426,0,NO,duplicate
TestBehaviorPreservationAfterDeduplication,class,runner/test_qafix_kalepasch_com_34bc56c33a4f.py,359,"class TestBehaviorPreservationAfterDeduplication: | """"""Critical: verify zero behavior changes from deduplication.""""""",110,677,0,NO,canonical
TestDuplicateDetection,class,runner/test_qafix_comprehensive_final.py,227,"class TestDuplicateDetection: | """"""Verify duplicate detection across codebase.""""""",57,753,0,NO,duplicate
TestDuplicateDetection,class,runner/test_qafix_kalepasch_34bc56c.py,108,"class TestDuplicateDetection: | """"""Verify accurate detection and classification of duplicate code.""""""",116,790,0,NO,canonical
TestDuplicateDetection,class,runner/test_qafix_kalepasch_com_34bc56c33a4f.py,54,"class TestDuplicateDetection: | """"""Verify duplicate detection across pricing grid reconstruction.""""""",68,677,0,NO,duplicate
TestEdgeCases,class,runner/test_qafix_comprehensive_final.py,580,"class TestEdgeCases: | """"""Edge cases must be handled correctly.""""""",38,753,28,NO,duplicate
TestEdgeCases,class,runner/test_qafix_kalepasch_com_34bc56c33a4f_final.py,550,"class TestEdgeCases: | """"""Test edge cases in consolidated pricing grid implementation.""""""",63,757,28,NO,canonical
TestMergedDiffLibrary,class,runner/test_qafix_merged_diff_patch_transplant.py,34,"class TestMergedDiffLibrary: | """"""Test MERGED-DIFF LIBRARY: load and adapt proven prior diffs.""""""",153,730,0,NO,duplicate
TestMergedDiffLibrary,class,runner/tests/test_relfix_kalepasch_com_4fa4039b57dc.py,368,"class TestMergedDiffLibrary: | """"""Verify integration with merged-diff library for prior proven diffs.""""""",73,790,0,yes,canonical
TestMergedDiffLibraryReuse,class,runner/test_qafix_comprehensive_final.py,286,"class TestMergedDiffLibraryReuse: | """"""MERGED-DIFF LIBRARY adaptation and matching.""""""",73,753,0,NO,duplicate
TestMergedDiffLibraryReuse,class,runner/test_qafix_kalepasch_com_34bc56c33a4f.py,124,"class TestMergedDiffLibraryReuse: | """"""Verify MERGED-DIFF LIBRARY adaptation and reuse.""""""",76,677,0,NO,canonical
TestPatchTransplant,class,runner/test_qafix_comprehensive_final.py,361,"class TestPatchTransplant: | """"""PATCH TRANSPLANT: adapt proven patches.""""""",51,753,1,NO,duplicate
TestPatchTransplant,class,runner/test_qafix_kalepasch_34bc56c.py,421,"class TestPatchTransplant: | """"""Verify patch transplant from proven related fixes.""""""",62,790,1,NO,duplicate
TestPatchTransplant,class,runner/test_qafix_kalepasch_com_34bc56c33a4f.py,202,"class TestPatchTransplant: | """"""Verify PATCH TRANSPLANT functionality - adapting proven patches.""""""",62,677,1,NO,duplicate
TestPatchTransplant,class,runner/test_qafix_kalepasch_com_34bc56c33a4f_final.py,722,"class TestPatchTransplant: | """"""Verify patch transplant from beethoven/recover-missing-branch-relfix.""""""",28,757,1,NO,duplicate
TestPatchTransplant,class,runner/test_qafix_merged_diff_patch_transplant.py,189,"class TestPatchTransplant: | """"""Test PATCH TRANSPLANT: adapt proven patches before generating fresh.""""""",136,730,1,NO,canonical
TestPricingGridReconstructionUtil,class,runner/test_qafix_kalepasch_com_34bc56c33a4f_final.py,364,"class TestPricingGridReconstructionUtil: | """"""Verify consolidated reconstruction utility.""""""",112,757,0,NO,duplicate
TestPricingGridReconstructionUtil,class,runner/tests/test_pricing_grid_reconstruction.py,62,class TestPricingGridReconstructionUtil: | def test_from_raw_tiers(self): | raw = [,51,123,0,yes,canonical
TestReuseFirstStrategy,class,runner/test_qafix_comprehensive_final.py,677,"class TestReuseFirstStrategy: | """"""REUSE FIRST: prefer adapting existing implementations.""""""",31,753,0,NO,duplicate
TestReuseFirstStrategy,class,runner/test_qafix_kalepasch_com_34bc56c33a4f_final.py,664,"class TestReuseFirstStrategy: | """"""Verify REUSE-FIRST strategy: prefer proven diffs over new code.""""""",52,757,0,NO,duplicate
TestReuseFirstStrategy,class,runner/test_qafix_merged_diff_patch_transplant.py,476,"class TestReuseFirstStrategy: | """"""Test REUSE FIRST: prefer adapting existing implementations.""""""",107,730,0,NO,canonical
