classification	product_files	swept_files	sha	patch_id	ref
ALREADY_PRESENT	1	1	72bc7ddf1f86	fa039b53095d	refs/orch-rescue/20260803T000718-breach-remediation
ALREADY_PRESENT	1	1	696872815d71	fa039b53095d	refs/orch-rescue/20260803T000719-cade-mirror-negotiation
ALREADY_PRESENT	1	1	c3d1aa9ea875	fa039b53095d	refs/orch-rescue/20260803T000720-cc-legacy-margin-removal
ALREADY_PRESENT	1	1	54cb2405c801	fa039b53095d	refs/orch-rescue/20260803T000721-cc-mutual-default-fund
ALREADY_PRESENT	1	1	cb458638f92b	fa039b53095d	refs/orch-rescue/20260803T000721-cc-solvency-passport
ALREADY_PRESENT	1	1	7530399a5107	fa039b53095d	refs/orch-rescue/20260803T000722-convention-conformance-lints
ALREADY_PRESENT	1	1	c23fdeee475d	fa039b53095d	refs/orch-rescue/20260803T000723-economic-scheduler-revenue
ALREADY_PRESENT	1	1	93d532b1c586	fa039b53095d	refs/orch-rescue/20260803T000724-ext-streaming-terms
ALREADY_PRESENT	1	1	62602aee6fc6	fa039b53095d	refs/orch-rescue/20260803T000724-hive-enforcement-velocity-index
ALREADY_PRESENT	1	1	791ce633eed2	fa039b53095d	refs/orch-rescue/20260803T000724-merged-diff-memory
ALREADY_PRESENT	1	1	4202f5b49f2d	fa039b53095d	refs/orch-rescue/20260803T000725-oc-autoclear-policy
ALREADY_PRESENT	1	1	0bee7ff2f1f3	fa039b53095d	refs/orch-rescue/20260803T000725-orch-config-consumption
ALREADY_PRESENT	1	1	5f3ed25ef56f	fa039b53095d	refs/orch-rescue/20260803T000725-pinned-express-lane
ALREADY_PRESENT	1	1	17646f8e58bc	fa039b53095d	refs/orch-rescue/20260803T000725-ploeh-s2s-bridge-tomorrow
ALREADY_PRESENT	1	1	c724ed32431e	fa039b53095d	refs/orch-rescue/20260803T000726-prompt-evolution-bandit
ALREADY_PRESENT	1	4	9c023d06b744	df2093624689	refs/orch-rescue/20260803T000726-relfix-racefeed-07060650-slice-4
ALREADY_PRESENT	1	1	1ae53af0304d	fa039b53095d	refs/orch-rescue/20260803T000751-breach-remediation
ALREADY_PRESENT	1	1	730ac4d5e6b5	fa039b53095d	refs/orch-rescue/20260803T000751-cade-mirror-negotiation
ALREADY_PRESENT	1	1	eb0f0cb53cb3	fa039b53095d	refs/orch-rescue/20260803T000751-cc-legacy-margin-removal
ALREADY_PRESENT	1	1	ef9819ce0821	fa039b53095d	refs/orch-rescue/20260803T000751-cc-mutual-default-fund
ALREADY_PRESENT	1	1	f87dd5880750	fa039b53095d	refs/orch-rescue/20260803T000751-cc-solvency-passport
ALREADY_PRESENT	1	1	e4939832797b	fa039b53095d	refs/orch-rescue/20260803T000751-convention-conformance-lints
ALREADY_PRESENT	1	1	4b70e54e5e84	fa039b53095d	refs/orch-rescue/20260803T000751-economic-scheduler-revenue
ALREADY_PRESENT	1	1	1a057825f68b	fa039b53095d	refs/orch-rescue/20260803T000752-ext-streaming-terms
ALREADY_PRESENT	1	1	c9f3f13cb65d	fa039b53095d	refs/orch-rescue/20260803T000752-hive-enforcement-velocity-index
ALREADY_PRESENT	1	1	6224b1d8130f	fa039b53095d	refs/orch-rescue/20260803T000752-merged-diff-memory
ALREADY_PRESENT	1	1	925cb1cb72c5	fa039b53095d	refs/orch-rescue/20260803T000752-oc-autoclear-policy
ALREADY_PRESENT	1	1	8e413e3adb3c	fa039b53095d	refs/orch-rescue/20260803T000752-orch-config-consumption
ALREADY_PRESENT	1	1	e950039289f1	fa039b53095d	refs/orch-rescue/20260803T000752-pinned-express-lane
ALREADY_PRESENT	1	1	4a4d3ade8068	fa039b53095d	refs/orch-rescue/20260803T000752-ploeh-s2s-bridge-tomorrow
