branch,commits_ahead,files,superseded_files,superseded_pct,age_days,last_subject
origin/agent/focused-conflicted-tomorrow-rescue-refs-106-slice-4,4,4,0,0.0,6,agent: focused-conflicted-tomorrow-rescue-refs-106-slice-4
origin/agent/focused-conflicted-tomorrow-rescue-refs-106-slice-3,3,4,0,0.0,6,agent: focused-conflicted-tomorrow-rescue-refs-106-slice-3
origin/agent/chatgpt-local-reconcile-tomorrow-41fc0d56c6e3-slice-3,2,4,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-41fc0d56c6e3-slice-3
origin/agent/chatgpt-local-reconcile-tomorrow-5f04d8a2e8f4,2,2,0,0.0,6,agent: chatgpt-local-reconcile-tomorrow-5f04d8a2e8f4
origin/agent/chatgpt-local-reconcile-tomorrow-91b800dc37ed-slice-3,2,4,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-91b800dc37ed-slice-3
origin/agent/chatgpt-local-reconcile-tomorrow-f488256b7d2c-slice-3,2,4,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-f488256b7d2c-slice-3
origin/agent/factory-unblock-chatgpt-local-reconcile-tomorrow-6f451eba9449,2,5,0,0.0,4,agent: factory-unblock-chatgpt-local-reconcile-tomorrow-6f451eba9449
origin/agent/fix-reconciler-dropped-symbols-stale-merge-base,2,2,0,0.0,6,agent: fix-reconciler-dropped-symbols-stale-merge-base
origin/agent/focused-conflicted-tomorrow-rescue-refs-106-slice-2,2,4,0,0.0,6,agent: focused-conflicted-tomorrow-rescue-refs-106-slice-2
origin/agent/merge-legacy-agent-qafix-tomorrow-07062319-slice-4-slice-2-transplant-core-patch-logic,2,0,0,0.0,47,agent: merge-legacy-agent-qafix-tomorrow-07062319-slice-4-slice-2-transplant-core-patch-lo
origin/agent/p1-foulkon-hedge-endpoint-and-unblock-20260811,2,5,0,0.0,19,agent: p1-foulkon-hedge-endpoint-and-unblock-20260811 (rebase repair + dead-branch fix)
origin/agent/recon-followup-tomorrow-7b74d4dd8e74-recoverable,2,8,0,0.0,17,recover: keep attorneyCockpit.test.ts that the self-heal snapshot dropped
origin/agent/adopt-shared-development-terminal-in-tomorrow,1,2,0,0.0,5,agent: adopt-shared-development-terminal-in-tomorrow
origin/agent/backlog-batch-tomorrow-2250a1e-adapt-prior-diffs-generate-diff-patch,1,1,0,0.0,24,agent: backlog-batch-tomorrow-2250a1e-adapt-prior-diffs-generate-diff-patch
origin/agent/backlog-batch-tomorrow-5aaa5de,1,1,0,0.0,45,agent: backlog-batch-tomorrow-5aaa5de
origin/agent/backlog-batch-tomorrow-99ed0d0,1,1,0,0.0,45,agent: backlog-batch-tomorrow-99ed0d0
origin/agent/cade-mirror-negotiation-pure-gate,1,1,0,0.0,7,test(cade): run the war-room mirror endpoint under the pure config
origin/agent/cade-restore-warroom-position-engine,1,1,0,0.0,47,cade-restore-warroom-position-engine: add .protected marker for war-room modules
origin/agent/canary-tomorrow-20260716-fix-agent-integration,1,1,0,0.0,45,agent: canary-tomorrow-20260716-fix-agent-integration
origin/agent/canary-tomorrow-20260716-fix-integration-configuration,1,1,0,0.0,45,agent: canary-tomorrow-20260716-fix-integration-configuration
origin/agent/canary-tomorrow-20260716-fix-orchestrator-configuration,1,1,0,0.0,45,agent: canary-tomorrow-20260716-fix-orchestrator-configuration
origin/agent/canary-tomorrow-20260716-isolate-integration,1,1,0,0.0,45,agent: canary-tomorrow-20260716-isolate-integration
